Title,Location,start_salary,max_salary,skills
Recruitment Consultant,Lucknow,10000,10000,Recruitment
Operations,Indore,5000,5000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSPowerPoint, MSWord"
Full Stack Development,Mumbai,12000,14000,"Amazon Web Services AWS, Expressjs, JavaScript, MEANMERN Stack, MongoDB, Nextjs, Nodejs, ReactJS, Redux"
Business Development (Sales),"Bhiwandi, Bhiwandi Sub-District",10000,10000,"Email Marketing, English Proficiency Spoken"
Data Analytics,Mumbai,12000,12000,"Data Analytics, MSExcel, SQL"
Content Writing,Meerut,10000,10000,"Blogging, Creative Writing, English Proficiency Spoken, English Proficiency Written, Search Engine Optimization SEO"
UPSC Proofreading,Remote,6000,8000,"Content Writing, Creative Writing, Economics, English Proficiency Written, History, Mathematics, MSOffice, MSPowerPoint, Teaching"
Network Engineering,"Manesar, Gurgaon",23000,23000,CCNA
Video Editor (Short-Form & Podcast Videos),Remote,11000,11000,"Adobe After Effects, Adobe Creative Suite, Adobe Photoshop, Adobe Premiere Pro, Audio Editing, Audio Making, Blender 3D, DaVinci Resolve, English Proficiency Spoken, English Proficiency Written, Final Cut Pro, Video Editing"
Administration,Pune,8000,8000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice"
Supply Chain Management (SCM),Delhi,4000,4000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice"
Trainee (IT Recruiter & Business Development),Pune,5000,5000,5 days a week
Content Writing,Malkapur,8000,10000,"Content Writing, Creative Writing, English Proficiency Spoken, English Proficiency Written"
UI/UX Design,Noida,10000,10000,"Adobe Illustrator, Adobe Photoshop, Adobe XD, Figma, PROTOTYPING, Sketch, UI, UX Design, User Interface UI Development, Wireframing"
Webflow Developer,Remote,10000,10000,Webflow
Supply Chain Management (SCM),Mumbai,10000,10000,"English Proficiency Spoken, MSExcel"
Graphic Design,Jabalpur,5000,7000,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro"
Sales and Marketing,Indore,7000,7000,"Effective Communication, Sales pitch"
HR Consultant,Kolkata,2000,3000,Effective Communication
Marketing,Koramangala,10000,12000,"Anchoring, Content Marketing, Content Writing, Digital Marketing, Facebook Marketing, Instagram Marketing, Marketing"
Field Representative,Delhi,10000,10000,"Effective Communication, MSExcel, MSOffice"
Administration,Vasai,8000,8000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSPowerPoint, MSWord"
Teaching,Pune,1000,2000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, Hindi Proficiency Written, Marathi ProficiencySpoken, MSExcel, MSOffice, MSWord, Teaching"
Sales,"Bangalore, Kochi",10000,15000,Job offer
Telecalling,"Mumbai, Gujarat",2000,2000,"English Proficiency Spoken, Hindi Proficiency Spoken, MSExcel"
Business Development,Navi Mumbai,20000,20000,"English Proficiency Spoken, Sales"
Online Marketing,Remote,5000,5000,"Facebook Ads, Facebook Marketing, Google AdWords, Google Analytics, Marketing Campaigns, Search Engine Marketing SEM, Search Engine Optimization SEO"
Social Media Marketing,Virar,8000,8000,"Digital Marketing, English Proficiency Written, Social Media Marketing"
Administration,Bangalore,15000,15000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSPowerPoint, MSWord"
Accounts,Gautam Buddha Nagar,5000,10000,Tally
Video Editing/Making,Burhanpur,7000,12000,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Video Editing, Video Making"
Digital Marketing,Faridabad,5000,5000,Digital Marketing
UI/UX Design,Remote,5000,5000,"Adobe Illustrator, Adobe Photoshop, Adobe XD, Figma, UI, UX Design, User Interface UI Development, Wireframing"
Embedded Systems,Remote,10000,10000,"C Programming, Embedded Systems, Internet of Things IoT"
Fine Art Associate,Jaipur,5000,12000,Painting
Data Entry,Noida,5000,7000,"MSExcel, MSOffice"
Data Science (R Programming),Remote,9000,9000,"Data Science, Machine Learning, R Programming"
Law/Legal,Indore,5000,5000,Job offer
Hindi Transcription,Remote,6000,6000,"Hindi Proficiency Spoken, Hindi Proficiency Written"
SSC Content Curator (SSC Coaching),Remote,6000,8000,"Content Writing, Creative Writing, English Proficiency Written, Mathematics, MSPowerPoint"
Virtual Volunteer,Remote,200,2500,"English Proficiency Spoken, English Proficiency Written"
Investment Banker,Remote,8000,8000,"Effective Communication, English Proficiency Spoken, Financial literacy"
Google Adwords Marketing,Remote,10000,10000,"Google Analytics, Search Engine Optimization SEO"
Management For Live Project At Auto Expo,Noida,10000,10000,"Effective Communication, MSExcel, MSPowerPoint, MSWord, Power BI, Report Writing, Time Management"
USPC Prelims Study Material,Remote,20000,30000,Content Writing
Finance & Accounting,Mumbai,10000,10000,"Accounting, MSExcel, Tally"
Marketing,"Ahmedabad, Chennai, Delhi, Bangalore, Mumbai, Gurgaon, Noida",8000,12000,"English Proficiency Spoken, English Proficiency Written, MSOffice"
Transcription Telugu Expert (Audio To Text In Telugu Language),Remote,9000,15000,"Content Writing, Creative Writing, English Proficiency Spoken, English Proficiency Written, Proofreading, Quality AssuranceQuality Control QAQC, Telugu Proficiency Spoken, Telugu Proficiency Written, Transcription"
Data Engineer,Bangalore,20000,20000,"Amazon Web Services AWS, MongoDB, MSExcel, Python, SQL"
Client Servicing,Remote,5000,5000,"English Proficiency Spoken, English Proficiency Written"
Teaching Assistant - Data Science,Gurgaon,18000,18000,"Data Science, MSExcel, MySQL, Power BI, Python, Tableau"
E Commerce Photoshoot,Delhi,10000,12000,Photography
Client Acquisition,Remote,1000,10000,"Business Research, Email Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, HR branding, Instagram Marketing, LinkedIn Marketing"
Application Development,Nagpur,4000,4000,"Flutter, Java, JavaScript, Kotlin, Objective C, Swift"
Node.js Development,Jaipur,3000,3000,"APIs, JavaScript, MongoDB, Nodejs, PHP, REST API"
E-Commerce Catalog Management,Remote,3500,3500,"CMS, Content Writing, CRM, MSExcel, Operations"
Interior Design,Jaipur,6000,6000,"AutoCAD, Google SketchUp, MSExcel, MSPowerPoint"
Social Media Marketing,Thane,3000,4000,"Instagram Marketing, Photography, Video Editing"
Market Research,"Delhi, Gurgaon",10000,10000,"MSExcel, MSOffice, MSPowerPoint, MSWord, Research and Analytics"
Host Partnerships,Remote,8000,8000,"Client Relationship, Digital Marketing, Effective Communication, Email Marketing, English Proficiency Spoken, English Proficiency Written, Marketing, MSExcel, MSOffice, Social Media Marketing"
Graphic Design,"Ahmedabad, Rajkot, Surat, Vadodara, Mumbai",10000,10000,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, UI, UX Design, Video Editing"
Teaching Assistant - Full Stack Development (MERN),Gurgaon,18000,18000,"HTMLCSS, MEANMERN Stack, MongoDB, MySQL, Nodejs, ReactJS, Tailwind CSS"
International Business Development,Gurgaon,10000,45000,"Canva, Email Marketing, English Proficiency Spoken, English Proficiency Written, Google Suite G Suite, Google Workspace, MSExcel, MSOffice, Social Media Marketing"
Sales Consultant,"Thane, Mumbai",5000,5000,Sales
MIS,Gurgaon,10000,10000,"Data Analytics, Effective Communication, MSExcel, Report Writing"
Doubt Solving Expert (Mathematics),Remote,5000,6000,"Mathematics, Online Teaching, Subject Matter Expert SME"
Network Engineering,Dehradun,3000,3000,"CCNA, Computer Networking, Computer Networks"
Telecalling,Kalyan,6000,6000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Marathi ProficiencySpoken"
Android App Development,Remote,15000,15000,"Android, Firebase, iOS, Nodejs, React Native, REST API"
Data Analytics,Indiranagara,20000,20000,"Data Analysis, English Proficiency Written, Mathematics, Research and Analytics"
iOS App Development,Remote,7000,7000,"iOS, Objective C, REST API, Swift, Xcode"
Graphic Designer (Infographics Expert),Mumbai,15000,20000,"Adobe Illustrator, Adobe Photoshop, Adobe XD, Animation"
Influencer Marketing & Social Media Marketing,Remote,2000,2000,"Effective Communication, Social Media Marketing, Time Management"
HR,"Delhi, Ghaziabad, Noida",7000,15000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Human Resource Information System HRIS, MSOffice, Recruitment"
Robotics,Bangalore,2000,15000,"Arduino, C Programming, Embedded Systems, Internet of Things IoT, Python, Raspberry Pi, Robotics"
Typing,Remote,5000,5000,MSExcel
Human Resources (HR),"Pune, Pimpri-Chinchwad",5000,5000,Recruitment
Customer Success - Mutual Fund Operations,Pune,16000,16000,"Client Interaction, Client Relationship, CRM, Effective Communication, English Proficiency Spoken, English Proficiency Written, Financial literacy, MSExcel, Problem Solving"
Project Associate- ERP,Remote,5000,5000,"Effective Communication, ERP Implementation and Deployment, Time Management"
Project Associate - HRMS,Remote,5000,5000,"Effective Communication, Human Resource Information System HRIS, Time Management"
Tender Application,Pune,6000,6000,"Content Writing, English Proficiency Written, Product Management"
Product Management And Implementation,Remote,10000,15000,"Business Analysis, Client Interaction, Product Management"
Payroll Executive,Remote,15000,15000,"Accounting, Compensation management, MSExcel, Salary structure"
Visa Process,Mumbai,5000,5000,"Effective Communication, MSExcel, MSOffice, Time Management"
WordPress Development,Chennai,10000,10000,"English Proficiency Spoken, English Proficiency Written, WordPress"
Online Marketing,Noida,13000,13000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Lead Generation, MSExcel"
Social Media Marketing (Content Creation),Remote,5000,5000,"Audio Editing, Content Marketing, Content Writing, Creative Writing, Facebook Ads, Facebook Marketing, Instagram Marketing, Marketing Campaigns, Marketing Strategies, Social Media Marketing, Video Editing, Video Making, Voiceover artist, Voiceover"
UI/UX Design,Bangalore,5000,5000,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe XD, Figma, Sketch, UI, UX Design, User Interface UI Development, Wireframing"
Business Development And Basic Accounting,"Chandigarh, Mohali, Zirakpur, Panchkula",8000,8000,"Accounting, Effective Communication, Email Marketing, English Proficiency Spoken, English Proficiency Written, Marketing, MSExcel, MSOffice, Travel Itinerary Making"
Social Media Marketing,Chennai,3000,3000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing"
Social Media Face (for an Agency),"Faridabad, Delhi, Gurgaon, Noida",4000,8000,"Effective Communication, English Proficiency Spoken"
Digital Marketing,Kolkata,10000,10000,Digital Marketing
E-Commerce Business Management,Delhi,8000,13000,"English Proficiency Spoken, English Proficiency Written, MSExcel, Social Media Marketing"
Social Media Ads Manager,Remote,2500,2500,"Facebook Ads, Facebook Marketing, Google AdWords, Instagram Marketing"
Customer Relation Executive (Sponsorship),Remote,2500,2500,"English Proficiency Spoken, English Proficiency Written, Marketing, MSPowerPoint"
Project Management,Remote,1500,10000,"Advanced Excel, Data Analysis, Effective Communication, English Proficiency Spoken, English Proficiency Written, Marketing, MSExcel, MSWord, Product Management, Project Management, Social Media Marketing, Time Management"
Sales,"Navi Mumbai, Vashi",8000,8000,"Sales, Sales pitch, Travel Itinerary Making"
Fashion Brand: Social Media,Remote,4000,6000,"Creative Writing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Instagram Marketing, Search Engine Optimization SEO, Social Media Marketing"
Event Management,Gurgaon,15000,15000,English Proficiency Spoken
Marketing,Mohali,15000,25000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Ads, Google AdWords"
Creative Design,Gurgaon,8000,8000,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Indesign, Adobe Photoshop, Adobe Premiere Pro, Canva, CorelDRAW, UI, UX Design"
Social Media Lead And Creator,Faridabad,15000,15000,"Social Media Marketing, Video Editing"
Management Sales Trainee,Gurgaon,6000,6000,Sales
Teaching,Faridabad,15000,15000,"English Proficiency Spoken, English Proficiency Written, Teaching"
Blog Writing,Remote,300,2500,"Content Writing, English Proficiency Spoken, English Proficiency Written"
College Ambassador Program- Fashion Content Creation,Remote,5000,5000,Content Marketing
Photo/Video Specialist,Mumbai,8000,8000,"Adobe Photoshop, Photography, Video Editing, Video Making"
YouTube Video Creation,Remote,6000,6000,"Effective Communication, English Proficiency Spoken"
Weekend Event Host,Koramangala,4000,5000,"Anchoring, Effective Communication, Event Management"
Architecture,"Delhi, Gurgaon",12000,12000,"Adobe Illustrator, Adobe Indesign, Adobe Photoshop, AutoCAD, Rhino"
Administration,Remote,12000,12000,"English Proficiency Spoken, English Proficiency Written, Google Suite G Suite, MSExcel, MSOffice, MSPowerPoint, MSWord"
Support Teacher,"Mumbai, Bangalore",10000,13000,Teaching
Internet Research Work,Remote,2000,2000,"English Proficiency Written, MSExcel"
Business Development (Sales),"Ghaziabad, Kaushambi, Ghaziabad",12000,12000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, Social Media Marketing"
Photography,Remote,15000,15000,"Adobe Photoshop, Adobe Photoshop Lightroom CC, Photography, Video Editing, Video Making"
Marketing,Jabalpur,10000,12000,"Effective Communication, English Proficiency Spoken, MSExcel, MSOffice, Sales"
Search Engine Optimization (SEO),Kolkata,6000,6000,"Content Marketing, Content Writing, Digital Marketing, English Proficiency Written, Google Analytics, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Marketing,Kochi,3000,3000,"Digital Marketing, English Proficiency Spoken, Malayalam Proficiency Spoken, Marketing, Marketing Campaigns, Social Media Marketing"
Social Media Marketing,"Delhi, Gurgaon, Noida",3000,3000,"Digital Marketing, Instagram Marketing, Search Engine Optimization SEO, Social Media Marketing"
Content Writing And Instructional Design,Delhi,5000,10000,"Design Thinking, English Proficiency Spoken, English Proficiency Written, MSPowerPoint"
Content Development (English),Bangalore,5000,5000,"English Proficiency Spoken, English Proficiency Written"
Social Media Marketing,Navi Mumbai,15000,15000,"Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Social Media Marketing"
Cold Caller – School Outreach,Delhi,8000,12000,Effective Communication
Legal Research,Remote,8000,8000,"English Proficiency Written, MSExcel, MSOffice, MSWord, Research and Analytics"
Photography,Kolkata,5000,10000,"Adobe Photoshop, Adobe Photoshop Lightroom CC"
Customer Service/Customer Support,Thane,5000,5000,"English Proficiency Spoken, MSExcel"
Content & E-Commerce Management,"Raipur, Saddu",3000,5500,"English Proficiency Spoken, English Proficiency Written, MSExcel"
SQL DEVELOPER,Remote,15000,15000,"Data Analytics, MSExcel, Python, SQL"
Humanities,Remote,500,5000,"Content Marketing, English Proficiency Spoken, English Proficiency Written, Marketing"
Business Development (Sales),"Pune, Mumbai, Nashik",6000,6000,"Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, Marathi ProficiencySpoken, Sales, Social Media Marketing"
Sales Development,Remote,5000,5000,"Effective Communication, Sales pitch"
Market Research,Indore,10000,10000,"Business Analysis, Effective Communication, Market Research, MSExcel, MSPowerPoint"
Data Entry,"Chandigarh, Kharar, Mohali, Zirakpur, Panchkula",5000,10000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice"
Search Engine Optimization (SEO),Chennai,6000,6000,"Digital Marketing, Search Engine Optimization SEO"
Client Servicing,Delhi,12000,12000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSPowerPoint"
IPad Artist/ Illustrator,Remote,5000,7000,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, CorelDRAW"
Large Language Model Researcher,Delhi,10000,10000,"Machine Learning, Neural Networks"
AWS DevOps Engineer,Delhi,10000,10000,DevOps
Cyber Security,Delhi,10000,10000,"Python, VAPT, Web Application Security"
Business Development (Sales),"Chandigarh, Mohali",10000,10000,"Email Marketing, English Proficiency Spoken, English Proficiency Written"
Video Editing/Making,Kanpur,15000,15000,"Adobe Premiere Pro, DaVinci Resolve, Sony Vegas Pro, Video Editing"
Talent Acquisition,Bangalore,15000,15000,"Employment engagement, English Proficiency Spoken, Google Suite G Suite, Recruitment"
Content Writing,Jamshedpur,2000,2000,"Canva, Effective Communication, English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, Hindi Proficiency Written, MSExcel, MSOffice, MSPowerPoint, MSWord, Translation"
3D Artist,Remote,5000,5000,"Autodesk Maya, Blender 3D"
Media & Public Relations (PR),Noida,5000,7000,English Proficiency Spoken
Event Management Consultant,Mumbai,80000,100000,"Database Management System DBMS, English Proficiency Spoken, English Proficiency Written, Event Management, MSExcel, MSPowerPoint, Operations"
Business Development (Sales),"Pune, Thane, Mumbai, Nashik",5000,10000,"Digital Marketing, English Proficiency Spoken, Marketing, Sales"
Looker Visualization Developer,Remote,20000,30000,"Data Analysis, HTML, Power BI, Tableau"
Social Media Creative Content Writer,Remote,3000,8000,"Content Writing, Creative Writing, Instagram Marketing, Social Media Marketing"
Business Strategy,Mumbai,100000,100000,"Data Analytics, English Proficiency Spoken, English Proficiency Written, MSExcel, Power BI, Research and Analytics, Tableau"
Business Development (Sales),Faridabad,10000,10000,"Email Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel"
Content & E-Commerce Management,Remote,4000,4000,"Adobe Photoshop, Canva, Content Marketing, CSS, JavaScript, MSExcel, Search Engine Optimization SEO"
Ruby On Rails Development,"Delhi, Gurgaon",10000,10000,"AngularJS, CSS, HTML, JavaScript, MySQL, PostgreSQL, REST API, Ruby on Rails, SQL"
Corporate Sales,Remote,6000,6000,"Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written"
Video Editing/Making,Jhansi,8000,8000,"Adobe Premiere Pro, Final Cut Pro, Video Editing"
Talent Acquisition,Remote,5000,5000,"English Proficiency Spoken, English Proficiency Written, Recruitment"
Accounting & Tally,Delhi,7000,10000,"MSExcel, MSOffice, Tally"
Event Networking,Remote,6000,6000,"Effective Communication, Email Marketing, LinkedIn Marketing"
Product Management,Delhi,10000,10000,"Product Lifecycle ManagementPLM, Product Management"
Business Development (Sales),"Amritsar, Amritsar Cantt.",15000,15000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, Social Media Marketing"
Interior Design,Noida,10000,10000,Autodesk Revit
Content Development (Logical Reasoning),Remote,7000,7000,"English Proficiency Spoken, English Proficiency Written, Mathematics, MSOffice"
Transcription Assamese Language,Remote,2000,15000,"Assamese Proficiency Spoken, Assamese Proficiency Written, Creative Writing, English Proficiency Spoken, English Proficiency Written, Proofreading, Transcription"
Media & Public Relations (PR),Mumbai,7000,7000,"Creative Writing, English Proficiency Spoken, English Proficiency Written"
Three Js Developer,Remote,15000,25000,"HTMLCSS, JavaScript, React"
Social Media Marketing,"Delhi, Moradabad, Bangalore, Greater Noida, Hyderabad, Noida, Jammu, Maharashtra",3000,10000,"Computer Networking, English Proficiency Spoken, MSWord, Social Media Marketing"
Biomedical Engineer,"Pune, Pimpri-Chinchwad",8000,8000,"Mechanical, Electrical Product Design"
Travel & Tourism,Kaithal,5000,5000,"English Proficiency Spoken, English Proficiency Written, Holiday Package Design, MSExcel, Travel Itinerary Making"
Patient Care Coordinator,Mumbai,10000,10000,"Effective Communication, English Proficiency Written, Hindi Proficiency Spoken, Marathi ProficiencySpoken, MSExcel, MSPowerPoint, MSWord, Time Management"
Social Media Marketing And Technology,Mumbai,6000,6000,"Canva, Copywriting, Effective Communication, English Proficiency Spoken, UI, UX Design"
YouTube Executive,Remote,5000,10000,"Content Marketing, Content Writing, Digital Marketing, English Proficiency Written, Marketing Campaigns, Marketing Strategies, Search Engine Optimization SEO, Social Media Marketing, YouTube Ads"
Business Development (Sales),"Indore, Bangalore, Raipur",10000,10000,"Lead Generation, Sales, Sales pitch"
Youth Empowerment,Remote,1500,10000,"Advanced Excel, Content Marketing, Data Analysis, Digital Marketing, Effective Communication, English Proficiency Spoken, English Proficiency Written, Market Analysis, Marketing, MSExcel, MSOffice, MSWord, Product Management, Sales, Time Management"
Accounts,Mumbai,8000,10000,"Accounting, MSOffice, Tally"
Finance,"Thane, Mumbai",3000,5000,"English Proficiency Spoken, MSExcel, MSOffice"
Search Engine Optimization (SEO),Jaipur,2000,2000,"Digital Marketing, English Proficiency Written, Google AdWords, Google Analytics, Nodejs, Python, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing, Software Testing"
Dietetics/Nutrition,Remote,5000,5000,"CRM, DieteticsNutrition, Marketing, Sales"
Influencer Marketing,Mumbai,5000,10000,Marketing
CAD Design,Pimpri-Chinchwad,10000,15000,"3ds Max, AutoCAD, Catia, SolidWorks"
Creative Design,Thane,2000,2000,"Adobe Illustrator, Adobe Photoshop, Design Thinking, Digital Marketing, Effective Communication, Social Media Marketing"
Brand Management,Remote,3000,3000,"Digital Marketing, Email Marketing, English Proficiency Spoken, Social Media Marketing"
Human Resources (HR),Lucknow,12000,12000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSWord, Recruitment"
Human Resources (HR),"Naigaon, Vasai, Mira Bhayandar, Virar",10000,10000,"Effective Communication, English Proficiency Spoken, Interpersonal Skills, MSExcel, MSOffice"
Influencer Marketing,Remote,5000,5000,"Content Marketing, Effective Communication, Marketing, Social Media Marketing"
Mobile App Development,Mumbai,8000,8000,"Android, iOS, React Native"
Business Strategy,Noida,5000,5000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Event Management, Lead Generation, MSExcel, MSOffice, MSPowerPoint, Research and Analytics"
Social Media & Videography,Remote,1000,2500,"Photography, Social Media Marketing, Video Editing, Video Making"
Graphic Design,Coimbatore,7000,7000,"Adobe Photoshop, Video Editing"
Accounts,Delhi,2500,3500,"Accounting, English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, Tally"
Market Research,"Ahmedabad, Rajkot",10000,10000,MSExcel
Customer Experience,Remote,15000,20000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Negotiation, Problemsolving, Sales"
Doubt Solving (Inorganic Chemistry),Remote,5000,6000,"Chemistry, Online Teaching, Subject Matter Expert SME, Teaching"
Junior Cryptographic Analyst,Remote,12000,12000,"Algorithms, Cryptography, DSA, Python"
Sales Operations,Remote,7000,7000,"Advanced Excel, English Proficiency Spoken, English Proficiency Written"
Social Media Marketing (Content Creation Skills),Remote,4000,4000,"Facebook Marketing, Instagram Marketing, Social Media Marketing, Video Editing, Video Making"
Business Development (Sales),"Chandigarh, Delhi, Gurgaon, Ludhiana, Patiala, Mohali, Jaipur, Noida, Panchkula",10000,10000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, MSExcel"
Spatial Designer,Pune,5000,9000,"Adobe Illustrator, Adobe Photoshop, KeyShot, MSPowerPoint"
Event Management,Remote,4000,4000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, MSOffice"
React Native Developer,Remote,7500,15000,"CSS, Flutter, HTML, JavaScript, React Native"
Accounts Assistant,Gurgaon,10000,10000,"MSExcel, MSOffice, MSPowerPoint, MSWord, Tally, Time Management"
Sales Procurement,Remote,6000,7000,"Effective Communication, Lead Generation, Negotiation, Problemsolving"
Photography,Bangalore,8000,8000,"Photography, Video Editing, Video Making"
E-commerce Executive,Delhi,10000,10000,"Data Analysis, Effective Communication, English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, MSExcel, Social Media Marketing"
Financial Accountant,"Ghaziabad, Noida, Delhi",10000,10000,Accounting
UI/UX Design,"Delhi, Gurgaon, Noida",8000,10000,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe XD, Figma, Sketch, UI, UX Design, User Interface UI Development, Wireframing"
SAP,Mumbai,10000,10000,Effective Communication
Client Servicing,Gurgaon,15000,20000,"Adobe After Effects, Creative Writing, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Product Marketing,Gurgaon,10000,10000,"Adobe Photoshop, Adobe Photoshop Lightroom CC, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Photography, Social Media Marketing, Video Editing, Video Making"
Node.js Development,Remote,10000,12000,"Expressjs, Nodejs"
Instagram Reels,Remote,8000,8000,"English Proficiency Spoken, English Proficiency Written, Instagram Marketing, Video Editing, Video Making"
Management,Bangalore,18000,18000,"Digital Marketing, Email Marketing, English Proficiency Spoken, Social Media Marketing"
Web Development & Ideation,Mohali,2000,5000,"JavaScript, MySQL, Nodejs, WordPress"
Digital Marketing,Ghaziabad,5000,5000,"Creative Writing, Digital Marketing, English Proficiency Written, Social Media Marketing"
Entrepreneur In Residence (Technical),Remote,10000,15000,"Effective Communication, MSExcel, MSPowerPoint, Python"
Marketing Research,Remote,5000,5000,"Data Analysis, Research and Analytics, Social Media Marketing"
Content & E-Commerce Management,Noida,8000,8000,"English Proficiency Written, MSExcel"
Backend Developer (NodeJS),Remote,7000,7000,"Nodejs, REST API"
Electrical Engineering,Ahmedabad,10000,10000,"AutoCAD, Circuit Design"
Blockchain Development,Remote,10000,10000,"Blockchain, Rust"
Alternative Dispute Resolution,Remote,7000,9000,"Effective Communication, Negotiation, Problemsolving, Problem Solving"
Digital Marketing,"Durgapur, Kolkata",6500,7000,"Digital Marketing, Facebook Ads, Facebook Marketing, Google AdWords, Instagram Marketing"
Graphic Designer,Noida,5000,10000,"Adobe Illustrator, Adobe Photoshop, Adobe XD, Canva, Figma"
Social Media Marketing,"Mumbai, Virar",7500,7500,"Content Marketing, Content Writing, Creative Writing, Digital Marketing, English Proficiency Written, Instagram Marketing, Search Engine Optimization SEO, Social Media Marketing"
Human Resources (HR),"Virar, Naigaon, Vasai, Mira Bhayandar",10000,10000,"English Proficiency Spoken, MSExcel, MSOffice, Recruitment"
Youth Facilitator,Remote,1500,10000,"Advanced Excel, Business Research, Digital Marketing, Effective Communication, English Proficiency Spoken, English Proficiency Written, Market Analysis, MSExcel, MSOffice, MSWord, Problem Solving, Time Management"
Course Developer (Rust Programming Language),Remote,15000,15000,Rust
Course Developer (TypeScript Essentials),Remote,14000,14000,TypeScript
Full Stack Development,Dehradun,10000,10000,"FastAPI, MongoDB, Nodejs, Python, ReactJS, TypeScript"
Sales And Outreach,Remote,1500,5000,"Business Analysis, Business Research, Content Marketing, Data Analysis, Digital Marketing, Effective Communication, English Proficiency Spoken, English Proficiency Written, Market Analysis, Marketing, MSExcel, Research and Analytics, Sales, Social Media Marketing, Time Management"
Digital Marketing,Pimpri-Chinchwad,2000,10000,"Creative Writing, Email Marketing, English Proficiency Written, Facebook Marketing, Instagram Marketing, Social Media Marketing"
Course Developer (Advanced Machine Learning On Google Cloud),Remote,20000,20000,"Google Cloud Computing, Machine Learning"
Graphic Design,"Thane, Mumbai, Vasai-Virar",12000,12000,"Adobe Indesign, Adobe Photoshop, CorelDRAW"
Search Engine Optimization (SEO),Hyderabad,6000,8000,"Google AdWords, Google Analytics"
Course Developer (Kubernetes And Cloud Native Associate Program),Remote,20000,20000,"Cloud Computing, Kubernetes"
Virtual Marketing Assistant,Remote,20000,40000,Social Media Marketing
Sales Outreach Specialist,Remote,20000,30000,"Email Marketing, Lead Generation, LinkedIn Marketing"
Volunteering,"Thane, Dombivli, Mumbai",15000,15000,"Distributed Computing, Effective Communication, English Proficiency Spoken, Event Management, Hindi Proficiency Spoken, Marketing Campaigns, Marketing Programs"
Transcription Bengali Expert (Audio To Text),Remote,15000,30000,"Bengali Proficiency Spoken, Bengali Proficiency Written, Content Writing, Creative Writing, English Proficiency Spoken, English Proficiency Written, Proofreading, Quality AssuranceQuality Control QAQC, Transcription"
Market Research & Development- Cosmetics,Mumbai,15000,15000,"English Proficiency Spoken, English Proficiency Written, Market Analysis, Marketing, Market Research, Product Strategy"
Accounting & Taxation,Kolkata,3500,5500,"MSExcel, Tally"
