Title,Location,start_salary,max_salary,skills
Fashion Design,Noida,7000,7000,"Adobe Illustrator, Adobe Photoshop, CorelDRAW, Fashion Designing"
Accounts,Gurgaon,10000,10000,"Accounting, English Proficiency Spoken, MSExcel, MSOffice, Tally"
Videography and Editing,Gurgaon,18000,18000,"Adobe After Effects, Adobe Creative Suite, Adobe Premiere Pro, Video Editing, Video Making"
Stock Market Content Writing,Chandigarh,15000,30000,Stock Trading
Copywriting,Delhi,10000,12000,"Copywriting, Creative Writing, English Proficiency Written"
Customer Service/Customer Support,Chandigarh,14000,14000,English Proficiency Spoken
Cyber Security,Kolkata,10000,10000,"Computer Networking, Ethical Hacking, Linux, Python, VAPT, Web Application Security"
Social Media (Insta Reel Short Making),Noida,10000,20000,Social Media Marketing
Digital Marketing,"Navi Mumbai, Mumbai",8000,8000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, Social Media Marketing"
Digital Marketing,Bangalore,15000,15000,"Content Writing, Creative Writing"
Lead Generation,Remote,3000,3000,"Client Interaction, Lead Generation"
Content Writing,Bangalore,12000,12000,"Content Writing, Creative Writing, English Proficiency Written, Hindi Proficiency Written, Search Engine Optimization SEO"
Social Media Marketing,Hyderabad,7000,7000,"Instagram Marketing, Social Media Marketing, Video Editing"
Content Writing,Noida,12000,12000,"Blogging, Creative Writing, Digital Marketing, English Proficiency Spoken, English Proficiency Written, Search Engine Optimization SEO, Social Media Marketing"
Influencer & PR Marketing,Noida,12000,12000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Marketing, Market Research, Negotiation, Problemsolving, Social Media Marketing"
Law/Legal,Bangalore,15000,15000,"Business Research, English Proficiency Spoken, English Proficiency Written, MSOffice"
Meta Ads,Noida,7000,7000,"Digital Advertising, Digital Marketing, Facebook Ads, Facebook Marketing"
Backend Development (Python),Delhi,10000,10000,"Django, Docker, FastAPI, Flask, Linux, Python, REST API"
Flutter Development,Nashik,5000,5000,"Android, Dart, Flutter, REST API"
Project Coordinator For SSC And Banking,Remote,6000,8000,Time Management
Unity Developer,"Dehradun, Bangalore",10000,10000,"C, Unity 3D, Unity Engine"
Operations,"Delhi, Bangalore, Hyderabad, Mumbai, Vishakhapatnam",22000,22000,Effective Communication
Machine Learning,Hyderabad,5000,10000,"Artificial Intelligence, Data Science, Deep Learning, Machine Learning, Natural Language Processing NLP, Python"
Intellectual Property Rights (IPR) Expert,Remote,5000,7000,Research and Analytics
Video Editing/Making,Delhi,10000,15000,"Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making"
Finance & Accounting,Koramangala,10000,15000,"Accounting, Financial literacy, MSExcel"
Sales,Remote,10000,15000,"English Proficiency Spoken, MSExcel"
